,predicted,stars,text
3922,5,5,"Looking a cutting edge, wanting the best for everyone type of pet boutique you must go to Oliver and Annie's. 

Chris, the owner is amazing! He knows his stuff and has the best of the best. There is no pet boutique like his. Urban chic and healthy top draw. He is an amazing supporter of local artists and designers and an absolute delight to know and do business with. His loving nature is endearing! 

It's no surprise he just received the ""Best of Phoenix"" award."
8379,5,5,"Greatness in the form of food, just like the other locations. 

The service was particularly good at this location. We sat at the bar,and while the other customers were mildly annoying, the late night bartenders were up beat, witty, and very personable.

The atmosphere was par for the course.

All in all, if you are reading this review, get your directions to this location, close the browser, and go eat!"
4266,5,5,"The Flower Studio far exceeded my expectations at my wedding! Christine is an amazing artist, businesswoman and person. She made time to meet with me outside her regular hours and really understood my vision for my wedding. Her arrangements for my wedding were absolutely stunning and really took the event to the next level. I am more than thrilled with this company and would recommend them to anyone. Thank you Flower Studio for making my wedding so beautiful."
5577,5,5,So yummy! Strange combination but great place
537,5,5,"I've been hearing about these cheesecakes from my husband and his incessant twitter following and I was really excited to try some of the goods at the market this past Saturday.

We finally woke up early enough on a Saturday morning to hit up Matt's and then peruse the market before it got too hot.  We made our way over to the cheesecake table and then debated between 10 or so flavors.  He had key lime and chocolate chip out to sample and I decided to try the key lime.  I was amazed at how natural it tasted.  There was nothing artificial about it, it just tasted exactly like it should.  These are very good, very simple cheesecakes.  I ultimately went with the peanut butter chocolate chip which is extremely tasty.  There are a bunch of different sizes to choose from, all at very fair prices.  YUMMY!"
2175,5,1,"This has to be the worst restaurant in terms of hygiene. Two of my friends had food -poisoning after having dinner here. The food is just unhealthy with tons of oil floating on the top of curries, and I am not sure if any health/hygiene code is followed here. 
The service is poor and the information on its website is incorrect, the owner does not allow dine-in after 9 or 10 even though it says that the restaurant is open till 11. 

One night I saw the owner cleaning the place without gloves and she was nice enough to give us a to-go parcel without cleaning her hands (great example to the servers!). I had a peek inside the kitchen when the door was ajar, and it definitely looked dirty.

I have been a lot of hole-in-the-wall places around this restaurant, including Haji Baba, the Vietnamese place and others, but neither any of my friends nor I have fallen sick coz of the food. If you need a spicy-food fix, i strongly recommend you do not try this place, lest you want a visit to the doctor the very next day."
4556,1,1,"I ate at Scramble last Friday and I have to say that it was a horrible experience.  What attracted me to this place was the separate vegan menu in addition to their regular menu - this makes things easier when dining with vegan and non-vegan friends.  So I happily ordered a tofu wrap and added fried potatoes as a side and awaited my food.  We started eating and my friend found a hair in his food...not good!  He threw it on the floor and tried to drop it.  Well moments later I found a hair in my food...  I couldn't believe there was hair on both of our plates!  I was so disgusted I could no longer eat my food (and I was ravenous).  I told the girl working the register about the whole ordeal, she walked back to the kitchen then back to the register and completely ignored me (she said she'd come back to my table).  Before we left I spoke with someone else and showed them the hair, clearly not one of mine.  All I got was ""Oh, I'll check the guys in the back.""  Check the guys in the back???  What?  How about, sorry may I refund you your money?  Additionally, the few bites I had of my burrito were pretty bland, it needed seasoning or hot sauce.  Overall, I wouldn't go back...unless I somehow develop a taste for hair, although I'm sure that won't happen.  I did take a picture of my food before I attempted eating it and if you zoom in enough you can see part of the hair sticking out of my food - I'll be posting them."
1502,5,5,"We decided to eat here on a whim. My husband got the burger brûlée and I got the beach house burger. Both were fantastic. The buns were perfect and we both agreed these were the best burgers we had had in a really long time. The sweet potato tater tots and French fries were also amazing. For $27 it fed our family of five. I'm definitely going back. Friendly service, casual atmosphere, and clean. Thumbs up all the way!"
6434,5,5,"I LOVE BURRITO EXPRESS. My fiance has been going with his friends since they were in high school and he finally took me to try the only thing his group ever orders: a steak, potato and cheese burrito. EPIC. This burrito was so awesome that they have never tried anything else on the menu and I feel the exact same way. The tortilla is huge and fresh and the burrito itself is gigantic. I can never finish mine but the boys seem to eat it right up! Don't leave this place without trying the horchata either, it's so good. I've been to other Mexican places like this and the horchata tasted like gross water. Burrito Express however does it right and I will always go back to this place whenever I'm up for the BEST BURRITO EVER."
2282,5,5,"Just open.  I had the roast beef sandwich and my wife had the turkey and stuffing sandwich.  Both were excellent, modern interpretations on classic lunches.  I highly reccommend this place.

P.S.:  iPad driven POS system is way cool."
2836,5,5,"Cute busy place in Central Phoenix. Not hiding behind gimmicks to make themselves authentic. Simple and sweet. Staff is well versed in Japanese food, if you haven't had it in years ask. Great staff, great food, great times."
3029,5,5,"I'm a big fan of Silver Mine. I have been for a long time. In fact, I would venture to say that this is my favorite sub place. Ever. I can't quite pinpoint what is so appealing about it to me. I do know that it was a dangerous decision to decide to live within a mile of this shop. The employees are super friendly, the restaurant itself is clean, the food is cheap and oh-so-good. 

Personally, I recommend the Pikes Peak or Bust which is a veggie cheese sandwich. I love it and have turned into the type of person that gets the same thing every single time...yikes! 

P.S...They also deliver until the wee hours of the morning and it doesn't get much better than a tasty sub when you have been out and about in Scottsdale on a Saturday night :)"
461,5,5,"I have now visited Herb n' Flavors several times. I love supporting local businesses who have sustainable practices. This place uses local farms for their produce, safe from GMO's and pesticides. So, I was already a fan before I walked in! Everything I have tried has been delicious, and the owner is such a cool guy- always so friendly to the customers. The food always tastes so fresh, and full of flavor! They have a little something for everyone. I am a gluten free vegan and my husband has no dietary restrictions. We always both leave happy. I definitely recommend this place. I would like to see their business continue to grow and stick around for a long time! :)"
2155,5,5,"I love to come here from time to time when I'm in the area and I am always highly satisfied with the food and service. The menu is great and there's a variety of dishes for every taste. The service is great, everyone is always really nice and the atmosphere is quiet and relaxed. Definitely a great place to have dinner/lunch with friends. I read some other reviews from people who complained about the food, mostly these were meat eaters, I'm assuming, so of course they were not satisfied. This is a %100 vegan restaurant, note it."
1048,1,1,"Went to Fatburger with our family tonight and will not return. 

Average food. The burgers were average. The lettuce was wilted, the tomato was green, and nothing outstanding about the flavor. I'd say better options nearby are Joe's farm grill, In-n-out, or Culvers. 

Cleanliness was average. The floor was a little sticky and the beverage area was kept very neat. The kitchen appeared clean. 

Service was below average/horrible. The cashier was very unpleasant. We all ordered at the same time and the first half of the food came out about 15 minutes prior to the 2nd part. It was pretty slow. By the time we got the fries they were cold. The staff literally acted like they were a bunch of highschoolers who were annoyed that there were any customers who interrupted their hangout. 

I know this sounds harsh...it is. My experience was absolutely horrible. We will not be back and I don't recommend that you should either."
6068,5,5,"This review pertains to carnitas, and as such should not be taken as a suggestion for ordering any of the following: fish tacos, rice, beans, horchata. That's about it! Yum!"
4080,5,5,"TIP #1 to Mesa-Gateway fliers: This is the ONLY bar at the airport, so live it-love it. 
Food is great. The burgers can be made low-carb - especially great this gurl! 
TIP #2: Food can be ordered to go..."
1781,5,1,If you like the stuck up Scottsdale vibe this is a good place for you. The food isn't impressive. Nice outdoor seating.
2674,5,1,"I'm sorry to be what seems to be the lone one star review.  Either I got there on the worst day in their history, or everyone drank the Koolaid, or I just have different expectations and taste buds.
It seems like a great idea.  It's a build your own burger joint, $7.00 gets you a cooked to order burger with one cheese, up to 4 toppings, and 2 sauces with fries or onion rings-or some other choices.  They also claim that the beef is local, hormone free, etcetera....

I chose a rare burger with American, grilled onions, sauteed mushrooms. tomato and lettuce, with mayo and mustard on a potato bun.  I added bacon for a dollar.

First, let me point out that if you are in a hurry, DON'T GO HERE TO EAT.  I waited exactly 39 minutes for my food. This would not be a big deal if:
1.  I had been warned before they ran my credit card--what if I only had 30 minutes for lunch??
2. They had places to sit but it's tiny and full.
3.  They had magazines, a jukebox, ANYTHING to entertain you for 39 minutes.  You can't even get your drink early to sip on that.

At the 30 minute mark, I'm ready to eat cardboard with a little ketchup on it, so maybe they make you wait so everything tastes even better?
Anyway, before my burger comes up, I notice that the lady behind the counter is saying that the orders overwhelmed the kitchen.  I look in the kitchen---they have ONE GUY TRYING TO DO ALL THIS??????   He'd better be getting a share of the profits!!!!!  Now I'm jsut feeling really bad for this guy back there.

I finally get my burger!  YAY!!  I'm SO excited!  All those 4 and 5 star reviews!  I take a bite and....the patty shoots out the other side of the bun like it had been shot out of a cannon.
WTH?  I look at the patty.  It's clean as a whistle. I mean there is no mayo or mustard or cheese smeared on the patty.  I turn it over and it slides out of my fingers back into the basket.  The other side is clean too.  The freakin' burger was so greasy, it slid all over the place!  Then a greasy glop of what must have  been the mushrooms and onions slid out.  Still not seeing any cheese, mayo, or mustard anywhere.  Just oil.  Tons and tons of oil.  I open the bun,  On one side is a heavily oiled slick of lettuce glued to the bun by (I am guessing) a slice of cheese.  The other side of the bun has some mayo and mustard residue--and more oil.  I'm grossed out, but hungry.  I take a bite.  It's not rare,  It's well done and oddly, tastes very faintly of liver.  BTW, remember the bacon I paid a dollar for?  Not there.  I'm really puzzled that instead of cheese. or beef, or SOMETHING, I just taste that faint livery taste. So I take another bite.There isn't even any salt or pepper, or anything on the burger patty.  This is perhaps, the worst grade of meat available for human consumption.  I take a third bite because that second bite brought back a memory of when I worked for a meat company here in town.  Now I recognize the flavor.  I'm not saying that what I ate that day at Two Hippies was old dairy cow, but that's EXACTLY what it tasted like.

At this point, I turn to the fries.  The are shriveled and DARK and taste like they've been fried and then microwaved.

I couldn't get out of there fast enough!  Forget my danged dollar!  just get me in the car!

Exactly one hour and 20 minutes later, I had vicious diarrhea

I haven't had that trouble even with eating junk food at the fair!

No.  NO.  A thousand times NO!

Red Robin is my next burger stop.  Period"
7913,1,1,"Unprofessional, disorganized, and extremely low end care."
2822,1,1,"Bad music, slow service, disgusting overpriced drinks, and annoying patrons.  Definitely wouldn't come back if someone paid me to. I can't even drink this margarita."
9540,5,5,"I can't remember the name of the special salad we had tonight with Shrimp, but I will never forget the taste.  FABULOUS is an understatement!  The NY pizza was equally as great.  Every time I come here I say to myself, we need to come more often.  Everything is always good.

Diane was our server tonight.  What a cutie!  More important is that the service was excellent!  Diane was back at our table many times checking to see if there was anything else she could do for us.  Another comment I want to make is there was a young man taking care of the table.  At some point I thanked him and was surprised to receive ""Your more than welcome"", instead of the typical ""No Problem"" statement coming from young people.  I should have gone to the management to tell them I was impressed by him, his smile and mannerisms.

We will be back!"
9808,5,5,"Went here last night when on our last night staying at the Hotel Valley Ho.  We were able to walk there from the hotel and it was so cute.  The wait staff were helpful and gracious.  Once we saw how large the pizzas were, they accomodated us and split the toppings on each side of the pizza so we got what we wanted.  I did think the olives were really salty, but that's that type of olive.  We had delicious wine and the bruschetta sampler.  Enjoy people!"
9461,5,5,"There is only one reason  why I shouldn't love this pizza.

Waiting an OBSCENE amount of time for a pizza is a pretty big one. If this pizza was not as good I would be angry I think.

I would tell you about it ( HERE)... 

but you know what its that good. I have had pizza around the world ,its not the best..... but this is pretty close to the best you are going to get in this area code. I would love to say don't believe  ""the hype"" but yo there is a reason you have to wait sometimes as long as 4+ hours for a pizza on a Saturday night.

 Lets really face the reality of that night though. You are gonna want to hang  around at other bars drinking with your friends anyway.Its certainly not going to be a cheaper night of entertainment either.. Armed with that information you know what to expect. While there is another place close by that is just as good but not as central.This is worth it just to know what people are talking about.

This Pizza is wood fired and made with world class ingredients. The thin cust is perfect. 
The service at least for me was rushed and sorta unplesant. We were literally the last people in there by the time they sat us, so I am not sure if that behavior / treatment is normal. 

Not a place to pop in and grab a bite to eat with a small group but if you are REALLY not in rush then this place is one of the best in AZ."
9973,5,5,Wow!  Went on a Sunday around 11am - busy but not packed.  Roomy and comfortable.  GREAT food.  Bacon meaty and tasy.  I had the french toast on recommendation and it was fantastic.  Great atmosphere...just an all around great place.  We were in from LA for a baseball game and wanted a non-chain local place and found this place on Yelp.  Glad we went!
4310,5,5,Wow! The Penang Curry (chicken) was absolutely incredible!! The portion was huge...had enough left over for another meal and tasted just as good the 2nd day. I will definitely be back! The Thai Tea was very good also. I just wish it was closer to Gilbert!
2263,5,5,"This place is what Desert Ridge wishes it was! Its great for groceries (Wal-Mart), bargain hunting (TJ Maxx), fast food or dining in (tons of places!), catching a movie (Harkins), stocking up the wine shelf (BevMo), new panties (Vicky's Secret) and a zillion other things. I love that this is close to my house! The only thing that would make it better is a Costco or Sam's Club."
3031,5,5,"Andrea is absolutely wonderful. She's pet-sit for me several times over the past several years and I've never had a single issue. On her first visit she stopped by to meet the animals and go over details with me. Now I just call her to let her know the days I'll be away and she arrives without any problems. 

She's very responsible and trustworthy - her copy of my house key broke off in the lock and she called me right away and we figured out a solution. She even came by on a day she didn't have to in order to get it fixed - all of this while I was gone.  On another occasion my travel plans changed suddenly and she was able to continue watching my animals. 

I highly recommend Andrea as a professional house-sitter. She can't be beat."
5084,5,5,I am from Chicago - and the italian beef here really is perfection.  Add to that the friendliest people ever and the amazing hotziki with fries- and they've got me forever.  Their falafel wrap is insanely good and the patty melt is to die for.  I could eat here every day - and I practically do!
9311,5,5,"I was given a $100 gift card to use at Willow Stream Spa last December... I've been waiting for the perfect day to use it since then.  Well, guess what? Today was that day!

With my fiance out of town for the weekend, I took advantage of some much deserved ""Gabi time"" as I like to call my downtime.  I called a few days ago to make an appointment and I asked if there were any specials going on.  Lucky for me, there were several!  The one that was most appealing to me was the ""book any 60 or 90 minute treatment and get a complimentary 30 minute treatment to go with it.""  I chose to book a 60 minute aromatherapy facial and a 30 minute complimentary massage to go with it... I was in heaven!

I'll back up a moment and just say that I've been to the Willow Stream Spa before... years ago.  Today was even more heavenly than I remembered.  I checked in around noon and didn't leave until after 6pm.  I could've stayed longer, but I had to come home to take Minnie out!

The Willow Stream facility is gorgeous and includes every amenity you can imagine... I started out in the fitness room for a quick workout and then took a glorious shower before my massage and facial.  I had Tomi for my massage and she focused on my neck, back, and shoulders... (I've been having shoulder pain so I think she customized this based on my situation).  She was fantastic but with just 30 minutes, it felt like a tease... my facial made it all worthwhile though- it was pure bliss!  Heather was my esthetician and did a fabulous job.  I highly recommend her - she explained every product she was using as I fell in and out of a relaxing sleep while she not only worked on my face but my shoulders, chest, neck, scalp, hands and feet... the products felt amazing and smelled good too.  So much so that I bought a couple on my way out.  

After my services, I had lunch (a delicious salad with veggies and chicken) while I wrote some thank you notes and read my book... It was so peaceful.  It was like an escape from the world and I enjoyed every second of it!

So, bottom line - if you are thinking about getting a spa-lover like me a gift anytime soon, Willow Stream Spa giftcards are always welcome... what an experience!  I'm feeling energized, relaxed, and peaceful."
1044,5,5,"Top notch cheesesteak. One of the best in the valley. This place has a large delivery area, and is located right by campus. The owners are really nice and friendly. I'm really glad something moved into this spot. It's so convenient. 

Their desserts are great as well. I wish they had some chicken options, but they are new and said they would be adding to the menu as time goes on. My girlfriend said the turkey sandwich was fantastic. They sometimes carry Tasty Kake, so ask about that. 

I've had the authentic cheesesteaks from Philly, and this tastes every bit as good if not better. It's definitely in my top 5 local cheesesteaks.

Edit: Just ordered delivery - Lightning fast! This place is incredibly legit. I went with a cheesesteak with White American cheese instead of ""wiz"" this time - So incredibly good. They tossed in a new dessert they didn't have last time which was awesome. 

Their prices are really good and their food is so delicious. I'm a huge fan. I'm not kidding with this 5 star rating - I love this place. Rave rave rave..."
